"Label (Grouping)","Congressional District 3 (113th Congress), Minnesota!!Total!!Estimate","Congressional District 3 (113th Congress), Minnesota!!Total!!Margin of Error","Congressional District 3 (113th Congress), Minnesota!!Male!!Estimate","Congressional District 3 (113th Congress), Minnesota!!Male!!Margin of Error","Congressional District 3 (113th Congress), Minnesota!!Female!!Estimate","Congressional District 3 (113th Congress), Minnesota!!Female!!Margin of Error"
"Total population","677,779","±5,375","331,252","±4,512","346,527","±4,797"
"AGE","","","","","",""
"    Under 5 years","6.3%","±0.4","6.2%","±0.5","6.3%","±0.5"
"    5 to 9 years","6.9%","±0.4","6.9%","±0.6","7.0%","±0.6"
"    10 to 14 years","6.7%","±0.4","7.0%","±0.5","6.3%","±0.6"
"    15 to 19 years","6.3%","±0.3","6.9%","±0.5","5.6%","±0.4"
"    20 to 24 years","4.9%","±0.4","4.8%","±0.6","4.9%","±0.4"
"    25 to 29 years","6.4%","±0.5","6.5%","±0.6","6.4%","±0.6"
"    30 to 34 years","6.6%","±0.4","6.8%","±0.6","6.4%","±0.5"
"    35 to 39 years","6.5%","±0.4","6.8%","±0.6","6.2%","±0.5"
"    40 to 44 years","6.7%","±0.3","6.9%","±0.5","6.6%","±0.5"
"    45 to 49 years","7.8%","±0.4","8.0%","±0.5","7.7%","±0.5"
"    50 to 54 years","8.0%","±0.3","7.9%","±0.4","8.1%","±0.5"
"    55 to 59 years","7.4%","±0.5","7.4%","±0.6","7.3%","±0.6"
"    60 to 64 years","6.4%","±0.4","5.9%","±0.4","6.8%","±0.6"
"    65 to 69 years","4.5%","±0.3","4.4%","±0.4","4.6%","±0.4"
"    70 to 74 years","2.9%","±0.3","2.7%","±0.3","3.1%","±0.4"
"    75 to 79 years","2.2%","±0.2","1.9%","±0.3","2.5%","±0.3"
"    80 to 84 years","1.8%","±0.2","1.6%","±0.2","2.0%","±0.3"
"    85 years and over","1.8%","±0.2","1.3%","±0.2","2.2%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.6%","±0.4","13.8%","±0.6","13.3%","±0.6"
"    15 to 17 years","4.3%","±0.2","4.5%","±0.4","4.0%","±0.3"
"    18 to 24 years","6.9%","±0.4","7.2%","±0.7","6.5%","±0.5"
"    15 to 44 years","37.4%","±0.6","38.7%","±0.8","36.0%","±0.8"
"    16 years and over","78.8%","±0.6","78.4%","±0.9","79.1%","±0.9"
"    18 years and over","75.9%","±0.6","75.4%","±0.8","76.4%","±0.8"
"    60 years and over","19.6%","±0.5","17.9%","±0.6","21.2%","±0.7"
"    62 years and over","16.9%","±0.5","15.4%","±0.6","18.2%","±0.7"
"    65 years and over","13.1%","±0.5","11.9%","±0.5","14.3%","±0.6"
"    75 years and over","5.8%","±0.3","4.8%","±0.3","6.7%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","39.7","±0.6","38.6","±0.7","40.7","±0.7"
"    Sex ratio (males per 100 females)","95.6","±2.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","59.4","±1.6","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","20.9","±0.9","(X)","(X)","(X)","(X)"
"        Child dependency ratio","38.4","±1.2","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.9%","(X)","(X)","(X)","(X)","(X)"
