"Label (Grouping)","Congressional District 3 (116th Congress), Minnesota!!Total!!Estimate","Congressional District 3 (116th Congress), Minnesota!!Total!!Margin of Error","Congressional District 3 (116th Congress), Minnesota!!Percent!!Estimate","Congressional District 3 (116th Congress), Minnesota!!Percent!!Margin of Error","Congressional District 3 (116th Congress), Minnesota!!Male!!Estimate","Congressional District 3 (116th Congress), Minnesota!!Male!!Margin of Error","Congressional District 3 (116th Congress), Minnesota!!Percent Male!!Estimate","Congressional District 3 (116th Congress), Minnesota!!Percent Male!!Margin of Error","Congressional District 3 (116th Congress), Minnesota!!Female!!Estimate","Congressional District 3 (116th Congress), Minnesota!!Female!!Margin of Error","Congressional District 3 (116th Congress), Minnesota!!Percent Female!!Estimate","Congressional District 3 (116th Congress), Minnesota!!Percent Female!!Margin of Error"
"Total population","723,994","±5,700","(X)","(X)","353,270","±4,252","(X)","(X)","370,724","±4,713","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","44,437","±3,184","6.1%","±0.4","22,403","±1,927","6.3%","±0.5","22,034","±1,883","5.9%","±0.5"
"        5 to 9 years","45,681","±3,076","6.3%","±0.4","22,872","±2,189","6.5%","±0.6","22,809","±2,225","6.2%","±0.6"
"        10 to 14 years","50,278","±3,747","6.9%","±0.5","25,531","±2,333","7.2%","±0.7","24,747","±2,877","6.7%","±0.8"
"        15 to 19 years","43,992","±2,470","6.1%","±0.3","22,171","±1,668","6.3%","±0.5","21,821","±1,845","5.9%","±0.5"
"        20 to 24 years","31,663","±2,796","4.4%","±0.4","16,167","±1,910","4.6%","±0.5","15,496","±2,059","4.2%","±0.5"
"        25 to 29 years","42,901","±2,950","5.9%","±0.4","21,481","±2,088","6.1%","±0.6","21,420","±1,863","5.8%","±0.5"
"        30 to 34 years","45,550","±2,610","6.3%","±0.4","22,926","±1,747","6.5%","±0.5","22,624","±1,531","6.1%","±0.4"
"        35 to 39 years","54,012","±3,377","7.5%","±0.5","27,138","±2,226","7.7%","±0.6","26,874","±1,986","7.2%","±0.5"
"        40 to 44 years","42,798","±3,592","5.9%","±0.5","19,905","±2,413","5.6%","±0.7","22,893","±2,218","6.2%","±0.6"
"        45 to 49 years","49,192","±2,281","6.8%","±0.3","23,295","±1,467","6.6%","±0.4","25,897","±1,565","7.0%","±0.4"
