ID Geography,Geography,ID Citizenship,Citizenship,Citizenship Status (2013),Citizenship Status (2014),Citizenship Status (2015),Citizenship Status (2016),Citizenship Status (2017),Citizenship Status (2018),Citizenship Status (2019),Citizenship Status (2020),Citizenship Status (2021),Citizenship Status (2022)
"04000US01","Alabama",0,"Citizen",4684874,4706715,4722093,4734501,4744554,4759656,4770939,4792061,4895669,4924859
"04000US02","Alaska",0,"Citizen",696931,704530,709045,712746,714358,713899,712455,713203,712814,712098
"04000US04","Arizona",0,"Citizen",5934896,6017350,6100105,6192374,6273238,6408359,6519391,6655241,6582875,6681080
"04000US05","Arkansas",0,"Citizen",2839652,2851650,2862264,2874013,2881547,2893853,2903079,2913755,2908380,2920762
"04000US06","California",0,"Citizen",32274313,32688183,33074021,33355851,33732243,33964450,34187373,34415898,34596526,34550271
"04000US08","Colorado",0,"Citizen",4805917,4882768,4962676,5041533,5116327,5212198,5298857,5387872,5432774,5484710
"04000US09","Connecticut",0,"Citizen",3328722,3337100,3336147,3333941,3340090,3330686,3326748,3329018,3359991,3366532
"04000US10","Delaware",0,"Citizen",866055,875708,882684,890716,898093,903590,909574,923474,937271,948667
"04000US11","District of Columbia",0,"Citizen",568028,579593,592630,605027,617129,628510,639584,650726,633981,624550
"04000US12","Florida",0,"Citizen",17264445,17531972,17813580,18101506,18407384,18700200,18993613,19327823,19462231,19740208
"04000US13","Georgia",0,"Citizen",9213724,9316918,9418050,9507596,9604741,9706002,9809248,9933747,10045831,10141392
"04000US15","Hawaii",0,"Citizen",1269519,1284330,1298755,1303952,1313579,1312813,1313267,1312952,1346110,1346397
"04000US16","Idaho",0,"Citizen",1522570,1538058,1553616,1574197,1596695,1626534,1656805,1695544,1752605,1795411
"04000US17","Illinois",0,"Citizen",11892795,11920507,11934019,11928168,11940644,11923116,11884944,11866597,11967341,11912208
"04000US18","Indiana",0,"Citizen",6314356,6342425,6367230,6385814,6407460,6430184,6455223,6484669,6536392,6566028
"04000US19","Iowa",0,"Citizen",2977587,2988423,3001673,3012098,3020834,3032103,3039682,3049518,3079627,3088853
"04000US20","Kansas",0,"Citizen",2741595,2755377,2764549,2771389,2776043,2782071,2784628,2792980,2813773,2816927
"04000US21","Kentucky",0,"Citizen",4268174,4288116,4300934,4314920,4324939,4337527,4345648,4357080,4387077,4396064
"04000US22","Louisiana",0,"Citizen",4463180,4491657,4515610,4535710,4548974,4549088,4549895,4551486,4543048,4527374
"04000US23","Maine",0,"Citizen",1308165,1307037,1307978,1308383,1309198,1311389,1314657,1319094,1334754,1343630
"04000US24","Maryland",0,"Citizen",5400151,5447808,5487336,5517145,5552590,5562898,5577240,5608852,5713461,5721642
"04000US25","Massachusetts",0,"Citizen",6114210,6160856,6207047,6234909,6270027,6296912,6314694,6341937,6439193,6427886
"04000US26","Michigan",0,"Citizen",9583381,9586738,9595888,9601977,9609109,9634622,9639084,9656470,9747589,9751049
"04000US27","Minnesota",0,"Citizen",5137563,5173907,5203975,5234810,5267839,5299245,5335312,5386646,5458287,5487456
"04000US28","Mississippi",0,"Citizen",2932674,2940872,2943031,2946760,2943750,2945445,2941849,2941636,2927765,2920299
"04000US29","Missouri",0,"Citizen",5874153,5895114,5912040,5930027,5944259,5958473,5971682,5996704,6015301,6028010
