ID Degree,Degree,Geography (2014),Geography (2015),Geography (2016),Geography (2017),Geography (2018),Geography (2019),Geography (2020),Geography (2021),Geography (2022),Group (2014),Group (2015),Group (2016),Group (2017),Group (2018),Group (2019),Group (2020),Group (2021),Group (2022),ID Geography (2014),ID Geography (2015),ID Geography (2016),ID Geography (2017),ID Geography (2018),ID Geography (2019),ID Geography (2020),ID Geography (2021),ID Geography (2022),ID Group (2014),ID Group (2015),ID Group (2016),ID Group (2017),ID Group (2018),ID Group (2019),ID Group (2020),ID Group (2021),ID Group (2022),Total Population (2014),Total Population (2015),Total Population (2016),Total Population (2017),Total Population (2018),Total Population (2019),Total Population (2020),Total Population (2021),Total Population (2022)
20,"Associates Degree","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Associates Degree","Associates Degree","Associates Degree","Associates Degree","Associates Degree","Associates Degree","Associates Degree","Associates Degree","Associates Degree","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","Associates Degree","Associates Degree","Associates Degree","Associates Degree","Associates Degree","Associates Degree","Associates Degree","Associates Degree","Associates Degree",407829,420231,437001,447992,461134,469734,476612,479433,478179
21,"Bachelors Degree","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Bachelors Degree","Bachelors Degree","Bachelors Degree","Bachelors Degree","Bachelors Degree","Bachelors Degree","Bachelors Degree","Bachelors Degree","Bachelors Degree","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","Bachelors Degree","Bachelors Degree","Bachelors Degree","Bachelors Degree","Bachelors Degree","Bachelors Degree","Bachelors Degree","Bachelors Degree","Bachelors Degree",856701,874616,888706,907956,930462,955793,984784,1015613,1038461
22,"Masters Degree","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree",273932,284340,292212,304567,319172,330762,340141,354979,362381
23,"Professional degree","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree",74266,75456,75561,78502,82561,84067,83536,87421,88995
24,"Doctorate degree","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree","Graduate Degree",47991,50484,51974,54413,54636,54835,55514,58461,59819
16,"Regular high school diploma","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent",963380,960047,955730,953492,947830,946862,945923,946289,944275
17,"GED or alternative credential","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent","High School or Equivalent",125162,127742,129709,129782,129027,128193,126768,126244,124645
1,"No schooling completed","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","No Schooling","No Schooling","No Schooling","No Schooling","No Schooling","No Schooling","No Schooling","No Schooling","No Schooling","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","No Schooling","No Schooling","No Schooling","No Schooling","No Schooling","No Schooling","No Schooling","No Schooling","No Schooling",180099,181689,182131,184980,184441,181473,179580,185408,182001
2,"Nursery school, preschool","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Preschool","Preschool","Preschool","Preschool","Preschool","Preschool","Preschool","Preschool","Preschool","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","Preschool","Preschool","Preschool","Preschool","Preschool","Preschool","Preschool","Preschool","Preschool",88313,88493,90750,91896,94335,95850,96186,98675,95384
3,"Kindergarten","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Minnesota","Preschool","Preschool","Preschool","Preschool","Preschool","Preschool","Preschool","Preschool","Preschool","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","04000US27","Preschool","Preschool","Preschool","Preschool","Preschool","Preschool","Preschool","Preschool","Preschool",78027,77998,78104,77853,76830,75262,75820,76334,75102
