ID Geography,Geography,Foreign-Born Citizens (2015),Foreign-Born Citizens (2016),Foreign-Born Citizens (2017),Foreign-Born Citizens (2018),Foreign-Born Citizens (2019),Foreign-Born Citizens (2020),Foreign-Born Citizens (2021),Foreign-Born Citizens (2022),Population (2013),Population (2014),Population (2015),Population (2016),Population (2017),Population (2018),Population (2019),Population (2020),Population (2021),Population (2022)
"50000US0101","Congressional District 1, AL",20143,19923,20406,21477,21714,21117,21675,21530,687708,691709,695961,699597,702730,706503,710135,714379,722794,718903
"50000US0102","Congressional District 2, AL",19793,19106,18855,18969,19493,19328,19966,23767,685502,685500,684660,683013,681443,680575,679684,678978,689681,714527
"50000US0103","Congressional District 3, AL",20610,19907,21468,21625,22474,22801,23963,20049,686997,692659,697296,700551,703772,706705,708888,713404,731482,717658
"50000US0104","Congressional District 4, AL",25660,25602,26235,24867,25800,24922,25630,25689,683241,683276,682859,683607,683508,683391,684757,687640,702255,717747
"50000US0105","Congressional District 5, AL",31396,31621,30944,30861,31424,30990,33236,33380,689995,695876,700501,704796,708691,714145,720362,728414,751690,720871
"50000US0106","Congressional District 6, AL",32671,32087,31866,32018,32592,30101,30408,30216,684488,688346,692738,694370,698968,703715,704770,708092,731505,711393
"50000US0107","Congressional District 7, AL",16951,17258,18152,18294,19460,18806,18561,22065,681346,680312,676605,675230,671659,669646,667654,662279,668268,726993
"50000US0200","Congressional District (at Large), AK",54047,55247,56043,57399,57667,57356,57938,57902,720316,728300,733375,736855,738565,738516,737068,736990,735951,734821
"50000US0401","Congressional District 1, AZ",46781,45618,45934,46587,47518,46673,47397,99580,714905,724361,727454,735985,741377,753580,762575,772404,758861,789173
"50000US0402","Congressional District 2, AZ",79893,80417,79348,79345,79912,78515,76585,45650,714909,716939,719851,720794,717718,719924,724083,732897,729613,798999
"50000US0403","Congressional District 3, AZ",154366,156632,158394,163342,164383,164305,158281,204380,713955,725399,732596,739672,751029,771436,776579,780637,780580,807937
"50000US0404","Congressional District 4, AZ",63653,62299,62305,61939,58651,62971,61526,105992,714295,724501,730220,738648,749187,768077,786254,811947,796390,801287
"50000US0405","Congressional District 5, AZ",74266,75315,77128,78606,82099,85414,86746,77794,729216,743690,761257,765403,782680,803186,820915,842222,860467,787758
"50000US0406","Congressional District 6, AZ",99251,101667,103617,108017,111169,112574,105969,69661,725035,729975,739321,752459,762220,776729,792368,806918,769040,784933
"50000US0407","Congressional District 7, AZ",200489,202042,201810,205096,203358,206088,198392,157501,718975,733248,744743,767495,782330,801173,811872,827379,792891,806472
"50000US0408","Congressional District 8, AZ",70018,70228,72914,74690,77805,78400,79519,90496,724968,734569,744439,753310,761786,777804,790494,806027,821009,784453
"50000US0409","Congressional District 9, AZ",107333,107395,110412,115596,115797,112695,107730,81319,723445,728834,742047,754811,761619,774776,785159,793633,770352,811270
