ID Race,Race,ID Ethnicity,Ethnicity,Geography (2013),Geography (2014),Geography (2015),Geography (2016),Geography (2017),Geography (2018),Geography (2019),Geography (2020),Geography (2021),Geography (2022),Hispanic Population (2013),Hispanic Population (2014),Hispanic Population (2015),Hispanic Population (2016),Hispanic Population (2017),Hispanic Population (2018),Hispanic Population (2019),Hispanic Population (2020),Hispanic Population (2021),Hispanic Population (2022),Hispanic Population Moe (2013),Hispanic Population Moe (2014),Hispanic Population Moe (2015),Hispanic Population Moe (2016),Hispanic Population Moe (2017),Hispanic Population Moe (2018),Hispanic Population Moe (2019),Hispanic Population Moe (2020),Hispanic Population Moe (2021),Hispanic Population Moe (2022),ID Geography (2013),ID Geography (2014),ID Geography (2015),ID Geography (2016),ID Geography (2017),ID Geography (2018),ID Geography (2019),ID Geography (2020),ID Geography (2021),ID Geography (2022)
0,"White Alone",0,"Not Hispanic or Latino","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN",541754,543970,546974,547599,550464,551545,550657,546290,545861,510898,2187,2549,2446,2756,2454,2888,2841,4376,2809,3220,"50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703"
0,"White Alone",1,"Hispanic or Latino","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN",15896,17507,18460,19217,19753,19886,18850,15773,13625,10411,1736,1485,1824.0000000000002,1595,1671,1711.9999999999998,1658,1690,1329,1308,"50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703"
1,"Black or African American Alone",0,"Not Hispanic or Latino","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN",44093,44585,46530,48263,51279,53736,58244,57553,61412,66580,1893.9999999999998,1925.0000000000002,1850,1794,2053,1855.9999999999998,1855,2639,2371,2888,"50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703"
1,"Black or African American Alone",1,"Hispanic or Latino","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN",681,652,752,547,447,813,1079,664,598,797,313,343,300,291,213.99999999999997,434.99999999999994,554,359,327,426,"50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703"
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN",2371,1995,1899,1635,1495,1424,1581,1535,1596,1700,473.00000000000006,368,394,362,320,292,361,378,355,417,"50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703"
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN",374,338,431,437,735,667,600,446,522,470,165,156,235,225,399,358,269,192,227.00000000000003,225.99999999999997,"50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703"
3,"Asian Alone",0,"Not Hispanic or Latino","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN",41469,44414,46137,48977,50096,51749,53742,56582,59060,59782,1356,1314,1403,1517,1478,1584,1614,1781.0000000000002,1865,1964.9999999999998,"50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703"
3,"Asian Alone",1,"Hispanic or Latino","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN",387,461,466,621,424,478,432,442,292,331,167,228.00000000000003,238.99999999999997,310,244.99999999999997,316,292,240.00000000000003,219,171,"50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703"
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN",167,221,327,357,318,385,205,148,113,91,104,106.99999999999999,123.00000000000001,108,104,103,78,71,69,68,"50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703"
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN",32,45,59,49,50,11,0,0,0,27,32,48,61,49,48,18,20,22,22,46,"50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703"
